央,#genre#
汽摩频道,
天元围棋,
证券服务,
睛彩竞技,
睛彩广场舞,
睛彩羽毛球,
睛彩篮球,
京视剧场,
动感音乐,
弈坛春秋,
置业频道,
七彩戏剧,
河北杂技,
东北戏曲,
江记录,
岭南戏曲,
现代教育,


粤,#genre#
广东卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=gdws
广东珠江,
广东体育,
广东民生,
广东新闻,
广东少儿,
广东综艺,
广东影视,
嘉佳卡通,
大湾区卫视,
经济科技,
移动,
现代教育,
岭南戏曲,
广州综合,
广州新闻,
广州影视,
广州竞赛,
广州法治,
广州移动,
南国都市,
番禺综合,
增城综合,
深圳卫视,
深圳都市,
深圳公共,
深圳财经,
深圳娱乐,
深圳体育,
深圳少儿,
深圳龙岗,
深圳众创,
蛇口频道,
佛山综合,
佛山公共,
佛山影视,
佛山南海,
佛山顺德,
佛山高明,
佛山山水,
韶关综合,
始兴综合,
乐昌综合,
乳源综合,
清远综合,
清远公共,
清新综合,
佛冈综合,
英德综合,
河源综合,
河源公共,
东源综合,
和平综合,
龙川综合,
资金综合,
连平综合,
大埔综合,
丰顺综合,
五华综合,
平远综合,
蕉岭综合,
兴宁综合,
普宁综合,
揭西综合,
惠来综合,
揭东综合,
汕头综合,
汕头公共,
汕头影视,
潮州综合,
潮州公共,
潮安综合,
饶平综合,
汕尾综合,
汕尾公共,
惠州综合,
惠州公共,
惠阳综合,
博罗综合,
惠东综合,
龙门综合,
东莞综合,
东莞生活,
中山综合,
中山公共,
中山教育,
珠海一套,
珠海二套,
珠海斗门,
阳江综合,
阳江生活,
阳西综合,
阳春综合,
阳东综合,
云浮综合,
云浮公共,
郁南综合,
罗定综合,
新兴综合,
肇庆综合,
肇庆生活,
四会综合,
广宁综合,
德庆综合,
怀集综合,
封开综合,
茂名综合,
茂名公共,
电白综合,
高州综合,
化州综合,
信宜综合,
湛江综合,
湛江公共,
廉江综合,
雷州综合,
吴川综合,
遂溪综合,
徐闻综合,



星,#genre#
北京卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=bjws
天津卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=tjws
河北卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=hbws
黑龙江卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=hljws
